data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2006-08-31,4.125,4.5,3.875,2.0416666666666665,3.825,5.25,4.708333333333333,1.8333333333333333,1.6875,3.1875,4.625,2.75,2.3333333333333335,3.9583333333333335,5.125,4.875,1.5,3.625,3.25,4.1
2006-09-30,83.0625,68.75,49.40625,44.166666666666664,48.925,44.725,46.291666666666664,39.708333333333336,47.25,39.375,36.5625,28.0,37.833333333333336,41.375,56.125,45.625,47.0625,49.5625,45.9375,44.7
2006-10-31,178.21875,201.14583333333334,253.234375,209.97916666666666,218.375,283.1125,239.79166666666666,212.625,188.5,158.625,247.96875,264.9375,243.70833333333334,234.375,191.64583333333334,189.5625,172.5,180.53125,163.21875,280.2
2006-11-30,178.75,159.16666666666666,211.625,216.125,207.775,198.175,232.125,254.54166666666666,211.75,250.125,244.4375,232.75,248.75,228.25,277.2916666666667,252.5,271.4375,232.0625,242.5625,124.10000000000001
2006-12-31,206.40625,210.125,163.5,236.27083333333334,167.8125,188.9375,189.625,236.0,187.0,219.3125,210.25,206.5,248.60416666666666,217.8125,197.25,184.59375,169.0625,187.25,191.625,247.8
2007-01-31,126.21875,111.75,86.359375,139.54166666666666,99.5375,91.675,85.64583333333333,199.02083333333334,111.65625,126.40625,155.0625,143.875,159.33333333333334,104.72916666666667,274.9791666666667,211.734375,219.40625,167.03125,135.40625,384.6
2007-02-28,129.03125,94.10416666666667,98.046875,151.52083333333334,132.2,77.525,88.83333333333333,218.02083333333334,102.6875,114.53125,159.0625,222.4375,183.8125,115.83333333333333,278.2916666666667,183.84375,209.5625,177.375,154.1875,302.7
2007-03-31,102.46875,73.1875,46.859375,28.104166666666668,34.1375,47.375,20.270833333333332,40.104166666666664,17.90625,25.5,29.59375,27.375,24.5625,17.770833333333332,78.1875,40.765625,72.28125,32.78125,43.75,192.70000000000002
2007-04-30,70.6875,62.958333333333336,75.03125,50.125,60.0,58.85,57.208333333333336,52.125,47.5625,46.4375,37.1875,33.0,40.583333333333336,56.083333333333336,61.166666666666664,35.9375,44.0,38.25,50.75,21.0
2007-05-31,5.3125,4.625,7.3125,8.916666666666666,9.95,6.475,10.125,7.333333333333333,4.75,5.4375,7.1875,7.375,7.583333333333333,7.708333333333333,10.75,6.90625,6.25,5.4375,4.0,0.0
2007-06-30,1.75,0.9583333333333334,0.71875,0.0,0.375,0.6,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0625,0.0,0.125,0.0
2007-07-31,14.6875,10.041666666666666,8.09375,8.208333333333334,7.775,8.175,7.208333333333333,6.541666666666667,7.0625,7.375,6.25,6.375,7.708333333333333,7.416666666666667,4.375,4.65625,4.3125,4.875,3.6875,17.5
2007-08-31,0.125,0.25,0.0,0.0,0.0,0.05,0.08333333333333333,0.0,0.25,0.25,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.25,0.25,0.5,0.0
2007-09-30,6.9375,4.125,16.09375,13.375,10.075,12.35,6.25,22.708333333333332,3.25,8.75,14.0,16.75,15.875,7.041666666666667,15.833333333333334,14.5625,10.625,10.0625,7.875,0.6
2007-10-31,60.25,40.083333333333336,45.28125,29.291666666666668,33.275,35.2,19.208333333333332,35.958333333333336,14.4375,18.1875,29.6875,32.0,26.541666666666668,18.166666666666668,53.583333333333336,40.53125,45.875,35.8125,38.4375,7.8
2007-11-30,111.28125,93.4375,64.625,74.3125,51.5125,67.45,30.9375,79.9375,27.34375,41.46875,58.65625,54.375,53.083333333333336,36.125,85.9375,62.375,71.90625,44.5625,47.75,66.8
2007-12-31,94.15625,59.75,66.984375,156.6875,101.8125,53.35,57.875,238.9375,65.84375,114.65625,159.875,179.5,143.54166666666666,91.77083333333333,196.85416666666666,172.578125,140.71875,145.875,120.90625,244.29999999999998
2008-01-31,135.53125,111.72916666666667,108.1875,138.79166666666666,85.975,81.1375,60.479166666666664,151.5625,92.25,145.5,169.96875,155.0,139.375,86.4375,247.83333333333334,193.859375,191.40625,198.03125,166.5625,343.9
2008-02-29,129.4375,97.1875,96.71875,103.70833333333333,80.3625,83.7375,58.0,167.10416666666666,73.65625,112.53125,176.4375,166.375,126.04166666666667,66.875,282.3333333333333,227.0625,244.5,174.03125,173.4375,401.90000000000003
2008-03-31,76.53125,54.0,66.5625,94.85416666666667,61.8875,46.175,47.979166666666664,149.125,55.8125,96.375,124.75,98.5625,97.9375,61.791666666666664,210.9375,140.34375,152.09375,150.84375,102.625,225.9
2008-04-30,55.75,34.1875,56.125,49.5625,45.275,36.075,26.229166666666668,61.104166666666664,28.40625,34.28125,48.03125,48.8125,47.708333333333336,30.395833333333332,86.29166666666667,75.8125,67.625,58.65625,46.0625,91.4
2008-05-31,34.6875,20.833333333333332,13.125,4.958333333333333,4.05,11.175,5.0,2.1666666666666665,7.25,7.0625,1.875,1.125,1.3333333333333333,3.875,0.6666666666666666,1.46875,1.875,5.1875,8.375,40.4
